post_id,creator_id,creator_follower_count,creator_follower_count_copy,creator_avg_past_likes,is_reel,video_duration_sec,posting_hour,posting_day,hashtag_count,num_mentions,caption_category,caption,caption_length,engagement_rate,likes_count,comments_count,shares_count,saves_count,views_count,went_viral,random_noise_1,random_noise_2_device
20018,206,1587,1657.5417666945225,85,0,0.0,20,Thu,10,4,Motivational,Never give up on your dreams keep going.,40,0.23681,282,50,21,35,2072,1,37.445582867120166,iOS
20099,40,21512,21495.86857022225,564,0,0.0,19,Sun,8,2,Question,What should I vlog next tell me in comments.,44,0.05653,870,118,132,117,13283,0,35.4298214348903,Android
20790,89,218677,218745.8157765037,8649,1,21.7,22,Mon,9,3,Personal,Grateful for this beautiful sunset today.,41,0.003,525,88,60,62,656902,0,43.75026421170859,Android
20631,8,58990,58980.19630705768,1837,1,31.7,21,Fri,8,1,Motivational,Every small step counts towards success.,40,0.03152,1284,196,162,166,237851,0,49.61950239927223,iOS
20811,102,7438,7430.605229710245,212,0,0.0,17,Fri,8,1,Motivational,Believe in yourself and keep pushing forward. Never give up on your dreams keep going.,86,0.10675,591,91,75,52,9979,0,67.07810894360782,iOS
20102,116,6930,6885.373223171049,262,1,22.8,0,Thu,10,2,Motivational,Every small step counts towards success. Stay consistent and the results will follow.,85,0.13099,600,79,72,81,21632,0,49.29159026241126,Android
20903,67,9434,9290.63215327169,304,1,7.8,18,Sun,6,2,Meme,When Mumbai local trains are on time for once. That feeling when chai fixes everything.,87,0.12176,729,127,125,107,47444,0,39.17601341539003,Android
21251,110,7186,7197.476351688392,136,0,0.0,3,Fri,5,2,Personal,Missing home cooked food so much today. Late night walk through the city lights.,80,0.1084,627,93,92,76,7890,0,36.00294983828307,iOS
20722,18,133364,133273.99051859867,5108,0,0.0,21,Mon,12,3,Question,Which outfit do you all like more comment below. Should I do a giveaway this week let me know.,94,0.003,293,44,18,35,109941,0,40.76755944985211,iOS
20446,101,2522,2545.6155473893364,141,0,0.0,14,Mon,14,0,Promotional,Use my code MUMBAI10 for a discount.,36,0.1572,254,55,24,46,1620,0,52.36983051625566,Android
21153,119,1283,1376.209397000472,56,0,0.0,20,Thu,8,0,Motivational,Discipline beats motivation every single time.,46,0.25198,229,40,25,22,1265,1,51.37385157733292,Android
21322,58,27313,27336.431204598783,1052,0,0.0,18,Wed,10,2,Question,Which cafe should I visit next in Bandra.,41,0.0501,1076,106,89,154,36280,0,35.03804741071751,Android
21357,101,2522,2454.8679891598154,141,1,24.1,2,Mon,12,2,Meme,POV you are stuck in Mumbai traffic again. Me checking Instagram one more time before sleeping.,95,0.17047,296,56,41,54,5885,0,26.25762803568896,Android
21003,191,4646,4665.432229162876,130,0,0.0,19,Sun,7,1,Personal,Coffee and good vibes this morning. Late night walk through the city lights.,76,0.14455,491,60,69,72,7709,0,24.63507654563454,iOS
20301,120,13700,13684.907119792668,483,0,0.0,17,Sat,10,0,Motivational,Stay consistent and the results will follow.,44,0.06217,724,111,50,66,19960,0,43.49035841059917,iOS
20611,121,26047,25998.352289728406,1493,0,0.0,13,Thu,12,1,Promotional,New collab dropping this week stay tuned. Use my code MUMBAI10 for a discount.,78,0.01036,205,20,24,26,16998,0,38.7540247996378,Android
20829,186,13693,13625.289446697581,530,0,0.0,23,Thu,6,0,Motivational,Believe in yourself and keep pushing forward. Your only limit is the one you set yourself.,90,0.05774,548,80,57,46,11952,0,57.43517685386226,Android
21138,34,20189,20154.10931691988,556,1,21.0,2,Tue,11,1,Question,What should I vlog next tell me in comments.,44,0.05229,826,120,74,66,76290,0,39.85613192092581,iOS
20741,212,169962,170014.1175191766,3044,1,43.5,2,Sun,7,1,Question,Which cafe should I visit next in Bandra.,41,0.003,311,65,24,36,312179,0,67.87446036635453,Android
21073,82,14341,14342.362992515767,406,0,0.0,5,Thu,7,4,Promotional,Link in bio to shop the collection now.,39,0.02526,306,45,35,32,16800,0,43.38119982654151,iOS
20345,182,75444,75480.8316953888,1189,0,0.0,7,Thu,12,1,Personal,Late night walk through the city lights. Spent the evening at marine drive with friends.,88,0.003,138,25,22,26,41995,0,51.24712425587504,iOS
20978,182,75444,75492.12385485908,1189,1,11.7,8,Wed,8,0,Promotional,Use my code MUMBAI10 for a discount. Excited to partner with this amazing brand.,80,0.003,156,34,19,21,168939,0,30.872895284541737,iOS
20100,24,13310,13349.914342884449,761,0,0.0,5,Thu,12,2,Question,Do you prefer reels or regular posts. Any recommendations for weekend plans in the city.,88,0.08458,930,172,103,91,17212,0,77.5345990268063,Android
20114,10,34991,34995.447657465505,1905,1,39.7,23,Mon,9,1,Motivational,Never give up on your dreams keep going.,40,0.0461,1041,147,178,153,128214,0,54.78898508150885,Android
20833,148,107120,107177.83193097272,4953,0,0.0,20,Thu,9,0,Personal,Weekend trip with the family was so refreshing. Coffee and good vibes this morning.,83,0.003,224,38,22,36,90862,0,83.76590325513156,Android
21052,59,20857,20913.536592740464,365,1,21.0,2,Tue,17,1,Motivational,Stay consistent and the results will follow. Never give up on your dreams keep going.,85,0.04004,635,74,64,67,46532,0,53.81823914426649,iOS
20064,187,51554,51594.493195459596,1220,0,0.0,2,Thu,7,1,Personal,Grateful for this beautiful sunset today.,41,0.003,85,15,11,14,54929,0,64.88868669992226,Android
20014,142,3412,3429.0026019211678,157,0,0.0,6,Mon,6,1,Personal,Grateful for this beautiful sunset today.,41,0.13467,384,48,51,49,2810,0,33.86326853082191,iOS
20573,180,8304,8238.160335780984,471,1,27.4,6,Sat,9,0,Promotional,Sponsored but I genuinely love this product.,44,0.10677,643,96,64,68,17110,0,53.492663574561746,Android
20173,54,21947,21956.269286271865,1246,0,0.0,8,Wed,4,0,Motivational,Discipline beats motivation every single time.,46,0.02572,469,60,40,44,28552,0,60.351810120259884,iOS
21257,121,26047,25999.811934303805,1493,0,0.0,2,Sun,9,2,Promotional,Excited to partner with this amazing brand. Use my code MUMBAI10 for a discount.,80,0.01947,342,58,54,47,23614,0,59.298267149210375,Web
21398,209,7493,7418.686668483964,136,1,22.0,7,Fri,8,1,Meme,Me checking Instagram one more time before sleeping. POV you are stuck in Mumbai traffic again.,95,0.12123,672,95,68,81,21976,0,44.459524884565646,Android
20112,197,4979,4948.393740848654,77,0,0.0,9,Sat,5,0,Meme,When Mumbai local trains are on time for once. When the auto driver actually uses the meter.,92,0.10264,353,63,47,55,3756,0,35.34634893447824,Web
21193,99,59204,59202.579774271966,2038,0,0.0,10,Thu,4,1,Meme,When Mumbai local trains are on time for once. That feeling when chai fixes everything.,87,0.003,120,22,13,17,64937,0,46.782888338869384,iOS
21068,142,3412,3360.9007776357175,157,1,5.0,21,Thu,8,2,Question,Should I do a giveaway this week let me know.,45,0.17842,376,63,58,36,13083,0,71.6283460167234,iOS
20035,93,28695,28650.151914390142,1518,1,45.8,10,Sat,10,1,Meme,That feeling when chai fixes everything.,40,0.04477,883,123,121,154,151051,0,59.30663513544408,Android
21071,97,15409,15324.735225291144,287,0,0.0,16,Wed,5,3,Promotional,Excited to partner with this amazing brand.,43,0.04809,525,78,58,57,18784,0,62.68601015589351,Android
21032,98,9299,9304.715618131519,339,1,33.1,21,Thu,11,0,Personal,Weekend trip with the family was so refreshing. Late night walk through the city lights.,88,0.12958,827,129,96,146,38928,0,48.2003830491137,Web
20961,75,7599,7679.39694974535,324,1,17.8,12,Thu,6,2,Motivational,Never give up on your dreams keep going. Stay consistent and the results will follow.,85,0.14585,799,113,109,90,42272,0,81.15997747953367,Android
20531,12,51515,51559.5065306829,2892,0,0.0,8,Tue,7,2,Question,Should I do a giveaway this week let me know.,45,0.003,126,18,16,14,97377,0,76.94634320652399,Android
21188,35,4438,4385.467324922392,148,1,14.7,17,Thu,15,3,Question,Should I do a giveaway this week let me know. Which cafe should I visit next in Bandra.,87,0.17815,488,75,68,88,16645,1,73.0474345824618,Android
20514,83,18971,19004.547818564868,932,1,43.2,5,Mon,9,3,Question,Which cafe should I visit next in Bandra. What is your favorite street food spot in Mumbai.,91,0.04637,614,92,84,81,77334,0,54.49467833960347,Android
20111,160,1067,994.0558337672289,18,0,0.0,13,Wed,7,0,Personal,Spent the evening at marine drive with friends.,47,0.22523,174,28,15,18,813,1,46.294906122830945,iOS
21355,207,19828,19849.1873558968,390,0,0.0,17,Sun,11,1,Promotional,Swipe up to grab yours before it sells out. New collab dropping this week stay tuned.,85,0.02697,413,55,52,45,26917,0,72.78220074816468,iOS
20263,77,800,839.9668887475175,37,0,0.0,12,Sun,8,1,Motivational,Every small step counts towards success. Your only limit is the one you set yourself.,85,0.23178,150,25,16,12,1187,1,68.20941006513303,Android
20622,34,20189,20196.406825018465,556,0,0.0,4,Mon,16,2,Promotional,Swipe up to grab yours before it sells out.,43,0.05147,716,146,41,80,14296,0,43.52585081524384,Android
20502,102,7438,7428.012315807779,212,1,21.2,5,Sun,9,2,Meme,Me pretending to work while scrolling reels. That feeling when chai fixes everything.,85,0.12136,620,100,90,53,23818,0,55.57591440669757,iOS
20362,196,6165,6204.389266270095,296,1,19.1,23,Tue,9,1,Motivational,Your only limit is the one you set yourself. Never give up on your dreams keep going.,85,0.12637,560,100,72,69,23841,0,32.74674416184551,Android
21323,172,6849,6886.006079041352,377,1,20.1,15,Fri,11,1,Personal,Missing home cooked food so much today. Coffee and good vibes this morning.,75,0.14311,669,126,82,83,19606,0,54.762718678489264,iOS
